kod,megnevezes,vtsz,idegen_nev1
2130704200011T,"2 NÓDUSZ Pack (1 db Saracen pack + 5 l Rubric + 2,5 l SuperSpray) Kivonva",3808301100,
3113155100015,8N421CLDM (150 esz.) IMI napraforgó,1206001000,
2110019000005T,ACANTO 250 SC  5 l  (4x5 l)(Forg.: 2018.Junius 20.-ig),3808302700,
2110021800005T,ACANTO PLUS   5 l  (4x5 l) ,3808302700,
2110700930019T,"ACANTO Sun Csom. 20 ha (3x5 l Acanto+10x0,4 kg Tanos)(Forg.: 2018.Június20.-ig)",3808302700,
2110019100038T,ACANTO TRIO (3x5 l Accanto+3 l Talius+20 l Alert S),3808302700,
2130024522024T,"ACCENT 75 DF 0,24 kg + TREND 1 l    Forg:2016.03.31.-ig ",3808302700,
2130024522006T,ACCENT 75 DF 2x60 g   Forg:2016.03.31.-ig   ,3808302700,
2130024600000T,"ACCENT GOLD (40 db Accent  0,06 kg  + 100 l Successor T + 10 l Trend)",3808302700,
2130030521001,"ACCURATE 200 WG   0,1 kg (12x0,1 kg)+ (Fortuna/SuperSpray)  2,5 l",3808302700,
2130000200010T,ACENIT A 880 EC  10 l  Forgalmazható: 2012.12.31.,3808302100,
2130000200020T,ACENIT A 880 EC  20 l  Forgalmazható: 2012.12.31.,3808302100,
2130000200005T,ACENIT A 880 EC  5 l  (4x5 lit) Forgalmazható: 2012.12.31.,3808302100,
2120024900001,ACEPTIR 200 SE  1 l  (12x1 l)  ,3808208099,
3113250112010T,Achat tavaszi repce 2.100.000csíra/zsák Modesto+TMTD,1205101000,
3115500120020,Ackerfit Wintergrün Zöldítõ keverék nem csávázott,1008200000,
2110000110001,ACROBAT  MZ  WG   1 kg  (10x1 kg) Forg.: 2021. okt. 4-ig,3808203000,
2110000110010,ACROBAT MZ WG 10 kg  (1x10 kg) Forg.: 2021. okt. 4-ig,3808203000,
2120000123004T,"ACTARA 25 WG  0,004 kg  (15x0,004 kg) leveles",3808109000,
2120000122004T,"ACTARA 25 WG  0,04 kg  (20x0,04 kg)",3808109000,
2120000122025T,"ACTARA 25 WG  0,25 kg  (10x0,25 kg)",3808109000,
2120000103005T,"ACTARA SC  0,005 l  12x(20x0,005 l) ampulla Forg.: 2020. október 31-ig",3808109000,
2120000102005T,"ACTARA SC  0,05 l   (40 x 0,05 l) Forg.: 2020. október 31-ig",3808109000,
2120000102025,"ACTARA SC  0,25 l (20x0,25 l) Forg.: 2020. október 31-ig",38081090,
2120200100015T,"ACTARA SWITCH  csom.  (20x0,25 l Actara + 10x1 kg Switch)",3808109000,
2120009302005T,"ACTELLIC 50 EC  0,05 l",3808104000,
2120000200001T,ACTELLIC 50 EC  1 l  (12x1 l),3808104000,
2120000200005,ACTELLIC 50 EC  5 l  (4x5 l),3808104000,
1192121400005,Actiwave  5 l  (4x5 l),3105909999,
2192010800005T,AD CONTACT  5 l  (4x5 l),380830,
2192010800001,AD CONTACT 1 l  (16x1 l),380830,
2130000100001,ADENGO 1 l  (12x1 l),3808301100,
2130000100005,ADENGO 5 l  (4x5 l),3808301100,
2120000301002,"ADMIRAL 10 EC  0,2 l  (20x0,2 l)",3808109000,
2120000300001,ADMIRAL 10 EC  1 l  (12x1 l),3808109000,
1142204130025,ADOB EXTRA GABONA  NPK 15:15:15  25 kg-os,3105201000,
1142204140025,ADOB EXTRA NAPRAFORGÓ-REPCE NPK 10:5:15  25 kg-os,3105201000,
1192045120001,ADOB Mangán 1 kg ,3105909999,
1142204120010,ADOB PROFIT FOLIAR  NPK 4:12:38 +Me 10 kg,3105201000,
8205010300020,Adott egyéb eloleg,1,
8105010300299,Adott eloleg ÁFA körön kívüli,1,
8205010100298,Adott eloleg nem vissza igényelheto  Áfa (szem.gk),1,
8102130300001,Adott támogatás,1,
2130000310002T,"AFALON  0,2 l  (25x0,2 lit)",3808301500,
2130000310001,AFALON DISPERSION 1 l  (12x1 l) Forg.:2017.December 3.-ig,3808301500,
2130016000010T,AFALON+ACENIT 1ha-os (2 l+2 l),3808301100,
2120000522001,AFFIRM  1 kg  (10x1 kg),3808104000,
2120025020001,AFFIRM OPTI  1 kg  (10x1 kg),3808104000,
2130018100001,AGIL 100 EC 1 l  (12xl l),380830,
2130018100005,AGIL 100 EC 5 l  (4x5 l),380830,
2130029700010,AGILITY 10 l (2x10 l),3808302700,
2130029700020,AGILITY 20 l (1x20 l),3808302700,
2130714241028,"AGILITY+ALLIANCE 16ha csomag  (20 l Agility+0,8 kg Alliance 660 WG) ",3808302700,
2130029700021,"AGILITY+MEZZO csomag  (2*10 l Agility+7*0,075 kg Mezzo) ",3808302700,
2120000710001,"AGITA 10 WG  0,1  kg (20 x 0,1 kg)",3808109000,
2120000710004,"AGITA 10 WG  0,4 kg   (18x0,4 kg)",3808109000,
2130036700005,AGRICHEM BENTAZON  5 l  (4x5 l),3808302300,
1150000305001T,Agrigold  1000 l  tartályos,3105909999,
1150000805020T,Agrigold  20 l  ,3105909999,
1150000905006T,Agrigold  6 l  (2x6 l),3105909999,
1141780420025,Agriplant 1 NPK 20-5-10+Mg+me  25 kg-os (40x25 kg),3105201000,
1141780420005T,Agriplant 1 NPK 20-5-10+Mg+me 5 kg-os vödör,3105201000,
1141780220025,Agriplant 2 NPK 12-5-24+Mg+me  25 kg-os  (40x25 kg),3105201000,
1141780220005T,Agriplant 2 NPK 12-5-24+Mg+me 5 kg-os vödör,3105201000,
1141780320025,Agriplant 3 NPK 14-10-14+Mg+me   25 kg-os  (40x25 kg),3105201000,
1141780320005T,Agriplant 3 NPK 14-10-14+Mg+me 5 kg-os vödör,3105201000,
1141760120025,Agriplant 4 NPK 8-14-25+Mg+me   25 kg-os  (40x25 kg),3105201000,
1141760120005T,Agriplant 4 NPK 8-14-25+Mg+me 5 kg-os vödör,3105201000,
1141780620025,Agriplant 7 NPK 6-12-36+B+me   25 kg-os  (40x25 kg),3105201000,
1141780520025,"Agriplant Kalászos NPK 20-5-10+0,5% Cu+me  25 kg-os  (40x25 kg)",3105201000,
1141780120025,Agriplant Starter NPK 10-40-10+Mg+me  25 kg-os  (40x25 kg),3105201000,
1193082120020,AGROBONUS MICROGAN MZ  20 kg,3105909999,
1193082130020,AGROBONUS MICROGAN P +  20 kg,3105909999,
1193082120010T,AGROBONUS ZINNIT 10 l,3105909999,
2190002410002T,"AGROCLEAN 0,75 kg  (8 x 0,75 kg)",3402209000,
2190002810001,AGROCLEAN 1 kg  (6x1 kg),3402209000,
2190002900001,AGROCLEAN LIQUID 1 l (10x1l),3402209000,
1150000105001T,Agrofol 390   1000 l  tartályos,3105909999,
1150000100020T,Agrofol 390   20 l  ,3105909999,
1150000205001T,Agrofol 650   1000 l  tartályos,3105909999,
1150000605020T,Agrofol 650   20 l  ,3105909999,
2120703800020T,AGROFUR 40 FW  20 l,3808103000,
2111100100001,AGROKÉN  1 l  (12x1 l),3808208099,
2120000400050T,AGROL PLUS   50 l,3808109000,
2120000400060T,AGROL PLUS   60 l 2014.12.31-ig,3808109000,
1150001000020T,Agromag L13  20 l ,3105909999,
1150001000006T,Agromag L13  6 l  (2x6 l),3105909999,
1142079726025T,Agrosil LR zsákos 25/1,3105201000,
2130020800010T,AGROXONE 75  10 l (2x10 lit),3808301100,
8102130100020,Ajándék,1,
3112140901015T,Ajaxx kukorica   50 esz,1005101300,
3112140901020T,Ajaxx kukorica   70 esz,1005101300,
3112300121025,Akklimat szudánifu  csáv.25/1 II.fok.,1005101300,
3112300111013,Akklimat szudánifû  I. fok  csávázott (950 e.sz ),1005101300,
3112300120025,Akklimat szudánifu nem csáv.25/1 II.fok.,1007001000,
2130025900010,AKRIS SE  10 l  (2x10 l),3808302100,
3111130521040T,Akteur  õ.búza  csávázott  II.fok  40/1,1001909100,
2130718040074,ALAP csom. (Proplant 10x1 l+Select S.10x1 l+Kupfer F. 30x1kg+Gr Wuxal S. 24x1 l),3808*,
1142800125600,Alba Humifert 10-20 NP bigbag 600/1,28332100,
1191017125999,Alba Naturgips Korn  bigbag,28332100,
1192260100020,AlbaMilagro Activa 20 l,3105909999,
1199100100010,AlbaMilagro Ph Master,28332100,
3115105150025T,Albatros mustármag (zöldtrágyának)  25 kg  (15-20 kg/ha),1005101300,
2130701110000T,"ALERT SUN 10 ha-os (5 l Alert Solo+5x0,4 kg Tanos)",3808931500,
3113100101012T,Alexandra  PR (150 esz) napraforgó,1206001000,
3112142101020,Alexxandra DUO kukorica   50 esz,1005101300,
3112141101020T,Alexxandra kukorica   50 esz,1005101300,
3111120721050T,Alföld 90  õ.búza  II.fok csávázott 50/1,1001909100,
3112200301025T,Alföldi-1 szemescirok I. fok  csáv. 260 e mag/zsák,1007001000,
1194011100001,Alga 600  1 kg  (15x1 kg) biostimulátor,3105909999,
1194011010001,Alga K Plus  1 kg  (15x1 kg) biostimulátor,3105909999,
1194006200500,Algasanba búza 500 l,3101000099,
1194006100500,Algasanba repce 500 l,3101000099,
1193090120020,"Algasoil  20 kg algatartalmú alaptrágya N1,7 P 2,6 K 1,7",3105909999,
3113204501010T,Alicante õ.repce (TMTD) 1.500.000 mag/zsák,1205101000,
2110000322025,"ALIETTE 80 WG  0,25 kg (18x0,25 kg) ",3808208099,
2110000320150,"ALIETTE 80 WG  0.015 kg (20x0,015 kg)",3808208099,
2110000320006,ALIETTE 80 WG  6 kg  ,3808208099,
3112186101015T,Alinea kukorica 50 esz.,1005101300,
8101010100027,Alkatrészek,8703,
8102012600227,Állásidõ,60242,
2130703121025,"ALLIANCE 600 WG  0,25 kg  ",3808208099,
2130703121008,"ALLIANCE 600 WG  0,8 kg  (8x0,8 kg)",3808208099,
2130018940001T,"ALLY 20 DF   2x0,03 kg + 0,5 l Trend  ( Kivont)",380830,
2130018941001T,"ALLY 20 DF+TREND 0,1 kg+1 l   ( Kivont)",380830,
2130041021001,"ALLY MAX SX   0,1 kg ",3808302700,
2130013621001,"ALLY MAX SX   0,1 kg +(Trend 1 l)  NET-NET",3808302700,
2130019722009T,"ALLY STAR  6x ( (0,09 kg+0,9 l)  + 1 lit Trend)  ( Kivont)",380830,
2110700110000,ALMA-SZÕLÕ COMBI csom.  (20x1 db),380820,
3112182501015T,Alpha   kukorica  50 esz,1005101300,
3112182501025T,Alpha   kukorica  50 esz Cruiser,1005101300,
3112182501022T,Alpha   kukorica  80 esz,1005101300,
3112182502022T,Alpha   kukorica  80 esz  Cruiseres,1005101300,
2120000713005T,"ALSYSTIN 25 WP  0,005 kg  (10x0,005 kg)",3808109000,
2120000712025T,"ALSYSTIN 25 WP  0,25 kg  (18x0,25 kg)",3808109000,
2120000710005T,ALSYSTIN 25 WP  5 kg  (4x5 kg),3808109000,
2120020701001,"ALSYSTIN 480 SC  0,1 l  (20x0,1 l)",3808205000,
2120020700001,ALSYSTIN 480 SC  1 l(12x1 l)Forgalmazható:2021 09.30.-ig,3808205000,
3111103121999,Altigo õ. búza II.fok csávázott  bigbag 1000 kg-os,1001909100,
3111103121050,Altigo õ. búza II.fok csávázott  zsákos 50 kg-os,1001909100,
2110000400001,ALTIMA  1 l  (12x1 l),3808208099,
2110000400005,ALTIMA  5 l  (4x5l),3808208099,
2140002053125,"ALTORAT  rágcsáló irtó gél  (50x0,135 kg)",35061000,
3113200711010T,Alvaro  õ.repce (TMTD) 1.500.000 csíra/zsák,1205101000,
2120003102025T,"ALVERDE 0,25 L  (24*0,25 L)  ( Kivont)",3808101000,
2120003100001T,ALVERDE 1 l  (10*1lt)  ( Kivont),3808101000,
1194000600010,Amalgerol    10 l  (2x10 l),3101000099,
1194000600001,Amalgerol   1 l (16x1 l),3101000099,
1194000600000,Amalgerol   1000 l  tartály,3101000099,
1194000600025,Amalgerol   25 l (36x25 l),3101000099,
1194000600003,Amalgerol   3 l  (4x3 l),3101000099,
1194000600600,Amalgerol   600 l  tartályos,3101000099,
1194000602002T,"Amalgerol  Prémium    0,2 l  (35x0,2 l)",3101000099,
1194000600005T,Amalgerol  Prémium    5 l  (4x5 l),3101000099,
1*,Amalgerol +Apis csom. (Amalgerol (2x10 l)  120 l+ Apis 12 l),3105909999,
1194020420004,Amalgerol bérkeverék 4 kg,01,
1194000800015,Amalgerol Essence  15 l ,3101000099,
1190700200022,Amalgerol Protect pack (2*10 l Amalgerol+2*1 l Talajõr "B" komp.),3105909999,
1194001120020,Amalgerol Starter NP 5:20 +Zn  20 kg  2x(20x20 kg),01,
2110024600005,Amaline Flow  5 l (4x5l),1,
3112183100015T,Amandha kukorica  50 esz,1005101300,
3112106301020T,Amanita  kukorica  70 e csávázott,1005101300,
2130026101002T,"AMEGA   0,2 l  (30x0,2 l)  ( Kivont)",380830,
2130026100001T,AMEGA   1 l  (12x1 l) Forgalmazható:2017.Május 31.-ig,380830,
2130026100005T,AMEGA   5 l  (4x5 l) Forgalmazható:2017.Május 31.-ig,3808300000,
2130026100025T,AMEGA 25 l  Forgalmazható:2017.Május 31.-ig,380830,
2130048900005,AMEGA FREE   5 l  (4x5 l),380830,
2130048900020,AMEGA FREE  20 l  (34x20 l),380830,
2130026400005,AMEGA UP   5 l  (4x5 l),380830,
2130026400001,AMEGA UP  1 l  (12x1 l),3808301100,
2130026800000,AMEGA UP 1000 l (Tartály),380830,
2130026800020,AMEGA UP 20 l  (32x20 l),380830,
3111400420050T,Amilo rozs,1002000000,
1194012100001,Amino Total  1 kg  (20x1 kg) biostimulátor,3105909999,
1194012600020,AminoBór  150 + Algafix csomag (10 l+10 l),3105909999,
1192214200005,AMINOPLANT  5 l (4x5 l)  növénykondícionáló,3105909999,
2110000602002,"AMISTAR  0,01 l  12x (20x0,01 l) ampulla",3808208099,
2110000601002,"AMISTAR  0,2 l  (20x0,2 l)",3808208099,
2110000600001,AMISTAR  1 l  (12x1 l),3808208099,
2110000600005,AMISTAR  5 l  (4x5 l),3808208099,
2130717800035,AMISTAR  PRIME csom.  (Amistar 4x5 l + Tern 3x5 l ),3808208099,
2130713200100T,AMISTAR M. cs. (40l Amist.O.+20 l Amist S.+40 l Cherokee) Forg.:2019.dec. 19.-ig,3808208099,
2115100100005T,AMISTAR OPTI 480 SC  5 l  (4x5 l) Forg.: 2020. május 20-ig,3808204000,
2115100200005,AMISTAR SUN  5 l  (4x5 l),3808208099,
2110000702025,"AMISTAR TOP 0,25 l   (20x0,25 l)",3808208099,
2110000700001,AMISTAR TOP 1 l  (12x 1 l),3808208099,
2110704340064,AMISTAR TOP+AFFIRM (24 l Amistar Top+40 kg Affirm),3808101000,
2110017500005,AMISTAR XTRA  5 l  (4x5 l),3808208099,
2110024700120T,AMISTAR XTRA + CHEROKEE 40 l (4x5 l) + 80 l (4x5 l)  Forg.:2019.december 19.-ig,1,
2110017500260T,AMISTAR XTRA+ARTEA csomag (160 liter + 100 liter)  Forg.:2019.december 19.-ig,3808208099,
2110705400024,AMISTAR+CIDELY TOP csom.  (Amistar 12*1 l + Cidely Top 12*1 l),3808208099,
1140100105000,Ammónium-Polifoszfát oldat NPK 11:37:0,3105400000,
1110176725050T,"Ammóniumnitrát 32 N+2,5CaO+1,5MgO LENGYEL 50/1 zsákos",3102309000,
1110176725900T,"Ammóniumnitrát 32 N+2,5CaO+1,5MgO LENGYEL bigbag",3102309000,
1110176825050,Ammóniumnitrát 33 % N szerb  50 kg-os  (20x50 kg),3102309000,
1110176825500,Ammóniumnitrát 33 % N szerb  bigbag   500/1,3102309000,
1110176725825,"Ammóniumnitrát 33,5 % N horvát   25 kg-os  (50x25 kg) .",3102309000,
1110176925500,"Ammóniumnitrát 33,5 % N lengyel bigbag 500/1",3102309000,
1110170125600,"Ammóniumnitrát 33,5 % ROMÁN bigbag   600/1",31023090,
1110177625900T,Ammóniumnitrát 34 % Horvát bigbag,3102309000,
1110190125500,Ammóniumnitrát 34 % imp.  écs. bigbag  500/1,3102309000,
1110190125050,Ammóniumnitrát 34 % imp. écs.   50 kg-os  (20x50 kg),3102409000,
1110190125000,Ammóniumnitrát 34 % imp. ért.cs.  öml,3102309000,
1110176125050,Ammóniumnitrát 34 % imp. zsákos 50 kg-os  (30x50 kg) ,3102309000,
1110176225900T,Ammóniumnitrát 34 % KAZAH  bigbag,3102309000,
1110176225050T,Ammóniumnitrát 34 % KAZAH zsákos 50/1 ,3102309000,
1110176625825,Ammóniumnitrát 34 % LENGYEL  25 kg-os  (40x25 kg),3102309000,
1110176625830,Ammóniumnitrát 34 % LENGYEL  30 kg-os  (40x30 kg),3102309000,
1110176625050T,Ammóniumnitrát 34 % LENGYEL  50/1,3102309000,
1110176625900T,Ammóniumnitrát 34 % LENGYEL  bigbag,3102309000,
1110177125900T,Ammóniumnitrát 34 % LITVÁN bigbag,3102309000,
1110120125005,Ammóniumnitrát 34 % N magyar    5 kg-os (160x5 kg),3102309000,
1110120120010,Ammóniumnitrát 34 % N magyar  10 kg-os (100x10 kg),3102309000,
1110120125825,Ammóniumnitrát 34 % N magyar  25 kg-os  (50x25 kg) pal.,3102309000,
1110120125840T,Ammóniumnitrát 34 % N magyar  40/1 palettás,3102309000,
1110120125850,Ammóniumnitrát 34 % N magyar  50 kg-os  (24x50 kg) pal.,3102309000,
1110120125700,Ammóniumnitrát 34 % N magyar  bigbag  700/1,3102309000,
1110140125700,Ammóniumnitrát 34 % N magyar  écs.  bigbag  700/1,3102309000,
1110127125150,Ammóniumnitrát 34 % N magyar  kezeletlen 50/1 (24x50) palettás,3102309000,
1110120125000T,Ammóniumnitrát 34 % N magyar  öml,3102309000,
1110120125050,Ammóniumnitrát 34 % N magyar  zsákos 50 kg-os  (20x50 kg),3102309000,
1110140125050,Ammóniumnitrát 34 % N magyar écs.  50 kg-os  (24x50 kg),3102309000,
1110170125050,Ammóniumnitrát 34 % ROMÁN  50 kg-os  (24x50 kg)  ,3102309000,
1110170125010,Ammóniumnitrát 34 % ROMÁN  zsákos10/1 (80 db/raklap),3102309000,
1110170125500,Ammóniumnitrát 34 % ROMÁN bigbag   500/1,3102309000,
1110175125900T,Ammóniumnitrát 34 % UKRÁN  bigbag  (1000/1),3102309000,
1110175125050T,Ammóniumnitrát 34 % UKRÁN  zsákos 50/1,3102309000,
1110176125500,"Ammóniumnitrát 34,4 % imp bigbag 500 kg",3102309000,
1110176125600,"Ammóniumnitrát 34,4 % imp bigbag 600 kg",3102309000,
1110170125000T,Ammoniumnitrát 34% ROMÁN öml.,3102309000,
1110170225850T,Ammóniumnitrát SPAN 36 (32N+4P) román 50/1,3102309000,
1110170225900T,Ammóniumnitrát SPAN 36 (32N+4P) román bigbag,3102309000,
1110420325050,Ammóniumszulfát  N 20%+24 S  granulált  50 kg-os  (20x50 kg),3102210000,
1110420325999,Ammóniumszulfát  N 20%+24 S  granulált bigbag,3102210000,
1110420325500,Ammóniumszulfát  N 20%+24 S  granulált bigbag  500 kg-os,3102210000,
1110420325700,Ammóniumszulfát  N 20%+24 S  granulált bigbag  700 kg-os,3102210000,
1110420325000,Ammóniumszulfát  N 20%+24 S  granulált öml.,3102210000,
1110420625025T,Ammóniumszulfát ( Industrial Grade)    25 kg-os  (40x25 kg),3102210000,
1110420125050,"Ammóniumszulfát 20,5%+25S   50 kg-os  (20x50 kg)",3102210000,
1110420125700,"Ammóniumszulfát 20,5%+25S  bigbag  700/1",3102210000,
1110420125000,"Ammóniumszulfát 20,5%+25S ömlesztett",3102210000,
1110421125025,Ammóniumszulfát 21%+24S (Domo NS) 25 kg-os  (48x25 kg),3102210000,
1142075625500,"Amofoska 4-10-22 NPK  Ca:S:B:Zn (4:10:0,1:0,2)  500 kg bigbag",3105201000,
1142075725050,Amofoska 4-16-18 NPK  (Ca:S) (4:10)  50 kg -os,3105201000,
1142075725500,Amofoska 4-16-18 NPK  (Ca:S) (4:10)  500 kg bigbag,3105201000,
1142075825500,"Amofoska 5-10-25 NPK  (Ca:S:B) (4:14:0,1)  500 kg bigbag",3105201000,
2110031300005,AMPERA  5 l  (4x5 l) Forg.:2022 06.30.-ig,3808205000,
2110704400030,AMPERA+WUXAL BORON 5 l  (2x5 l + 2x10 l) Forg.:2022 06.30.-ig,3808205000,
2120105200001,AMPLIGO 150 1 l (12x1 l) Forg.: 2022.08.31-ig,3808101000,
3111131211750T,Amun  õ. búza  I. fok  csávázott  bigbag  750 kg,1001909100,
2120026520001,AMYLO-X WG  1 kg  (10x1 kg),3808208099,
3111230121040T,Angora  õ.árpa  csávázott,1003001000,
3112180101015T,Anita TC    kukorica  50 esz,1005101300,
3114201510025,Anna lucerna  I.fok nem csávázott   25 kg-os,1209210000,
3114200210050,Anna lucerna I.fok nem csávázott 50/1,1209210000,
3114200220025,Anna lucerna II.fok nem csávázott 25/1,1209210000,
3111260520050T,Annabell    t.árpa II.fok 50/1,1003001000,
1241139225050,Anthera Speciál  NED   50 kg-os ,3105209000,
1241139125050,Anthera Speciál GR   50 kg-os ,3105209000,
2192010900001,ANTIFOAM  1 l  (12x1 l) segédanyag,3380089000,
3111230811000,Antonella  õ.árpa  I.fok csávázott  bigbag / 750 kg/,1003001000,
3111230821025,Antonella  õ.árpa  II.fok csávázott  25 kg-os (40x25 kg),1003001000,
3111230821050,Antonella  õ.árpa  II.fok csávázott  50 kg-os (20x50 kg),1003001000,
3111230821000,Antonella  õ.árpa  II.fok csávázott  bigbag / 1000 kg/,1003001000,
3111230821700,Antonella  õ.árpa  II.fok csávázott  bigbag / 700 kg/,1003001000,
3111230821900,Antonella  õ.árpa  II.fok csávázott  bigbag / 900 kg/,1003001000,
3111121721050T,Antónius  õ.búza  II.fok csávázott   50 kg-os  (20x50 kg),1001909100,
3111121721000T,Antónius  õ.búza  II.fok csávázott   bigbag 1000 kg-os,1001909100,
2110004520006,ANTRACOL WG  6 kg  (1x6 kg) Kivonva,3808203000,
2110004521005T,"ANTRACOL WG 0,5 kg  (20x0,5 kg) Forg.:2018.December 22-ig",3808203000,
3111122321000T,Apache õ.búza II. fok csávázott  bigbag  1000 kg -os,1001909100,
2120012623003T,"APACS 50 WG  0,003 kg  (15 x 0,003 kg)  levél ",3108109000,
2120011722015T,APACS 50 WG  5x3 gr leveles ,3108109000,
2120011722005T,"APACS 50 WG 0,05 kg (40x0,05 kg)",3108109000,
2120011721005T,"APACS 50 WG 0,5 kg  (12x0,5 kg)",3108109000,
2130036223133,"APERON  0,133 kg  ",3808301500,
2120021020001T,APHOX 50 WG 1 kg  (10x1 kg) rovarölõ  Kivonva 2018,3108109000,
1150001505020T,Apical   20 l,3105909999,
1150001605006T,Apical   6 l  (2x6 l),3105909999,
2120022800001,APIS 200 SE  1 l  (12x1 l),3808109000,
2120000811001T,"APPLAUD 25 WP  0,1 kg  (100x0,1 kg)",3808109000,
2110018500020T,APRON XL 350 ES  20 lt,3808208099,
2190008820001,AQUAPERLA  DCM  1kg,3105201000,
1194002000005,AQUARIUS 5 l  (4x5 l),3808909000,
2130037100005T,ARCADE 880 EC  5 l  (4x5 l) gyom.,3808302700,
3113100201010T,Aréna PR (150 esz) napraforgó  ,1206001000,
8131012111015,Árengedmény ,-,
8107311100099,Árfolyam különbözet,1,
2130035822033,"ARIGO  0,33 kg (10x 0,33 kg)",380830,
2130710330016T,"ARIGO Gold Csom. 10 ha (Arigo 10x0,33 kg +Successor 1x10 l )+ Trend  5x0,5 l",3808,
2130029000011T,ARIGO PACK  4 ha. csom. (360 g Principal+1 l Mezotrion)+ 1 Trend ,3808,
3112197100015T,Arkadi CS kukorica 50 esz,1005101300,
3113211711010T,Arkaso õ.repce (TMTD) 1.500.000 csíra/zsák,1205101000,
8102710144125,Árkiegészítés (termény),1206009900,
8102710111127,Árkülönbözet ( mûtrágya)  27% áfa,1206009900,
8102710121127,Árkülönbözet ( növszer)  27% áfa,1206009900,
81027101311200,Árkülönbözet (vetõmag) Fordított áfa 0%,1206009900,
3113103401010T,Armada CL (150 esz.)  napraforgó,1206001000,
3112182401020T,Arobase    kukorica 80 esz,1005101300,
2130022400001T,"ARRAT+DASH  3*0,8 kg+6*1 lit",380830,
3113203201010T,Arsenal õ.repce (TMTD) 1.500.000 mag/zsák,1205101000,
2110000900005,ARTEA 330 EC  5 l (4x5 l) Forg.:2019.december 19.-ig,3808109000,
3113132500015T,Artimis CL napraforgó 150 esz,1206001000,
2190050122002T,"Artis   0,02 kg  (20x0,02 kg)",3101000100,
2190050121001T,"Artis   0,1 kg  (25x0,1 kg)",3101000100,
2190050120001,Artis  1 kg  (5 x 1 kg),3101000100,
2190050222002,"Artis Pro  0,02 kg  (25x0,02 kg)",3101000100,
2190050221001,"Artis Pro  0,1 kg  (25x0,1 kg)",3101000100,
2190050220001,Artis Pro  1 kg  (5 x 1 kg),3101000100,
2190050220005,Artis Pro  5 kg  (1 x 5 kg),3101000100,
3113206611010T,Artoga õ.repce (CRUISER OSR) 1.500.000 mag/zsák,1205101000,
3113206621010T,Artoga õ.repce (TMTD) 1.500.000 mag/zsák,1205101000,
2120700122020,"ARVALIN  LR  0,2 kg  (24x0,2 kg)",3808101500,
2120700122025,"ARVALIN  LR  0,25 kg  (24x0,25 kg)",3808101500,
2120700120001T,ARVALIN  LR  1 kg  (12x1 kg),3808101500,
2120700120010,ARVALIN  LR  10 kg  (2x10 kg),3808101500,
2120700120025,ARVALIN  LR  25 kg  ,3808101500,
3114100820025T,Arvika  takarmányborsó vetõmag  25 kg,0713101000,
2190003000020,ASAHI SL 20 l  (1x20 l),3808909000,
1193080820020,Asco Starter NP 10:43+ me.  20 kg  (50x20 kg),3105909999,
2115101000005,ASCRA XPRO   5 l  (4x5 l) gombaölõ,3808109000,
2130044800005,ASPECT SC 533   5 l (4 x 5 l),3808301100,
3114106220050T,Assas õsziborsó vetõmag II. fok 50/1 csávázatlan ,0713101002,
3111121421040T,Astardo  õ.búza  II.fok csávázott 40/1,1001909100,
3113100301010T,Astor (150 e. szem)  napraforgó,1206001000,
2110001012003T,"ASTRA  RÉZOXIKLORID  0,03 kg  (25x0,03 kg) levél",3808201000,
2110001010001,ASTRA  RÉZOXIKLORID  1 kg  (10x1 kg),3808201000,
2110001010010,ASTRA  RÉZOXIKLORID  10 kg  (1x10 kg),3808201000,
2110001010025,ASTRA  RÉZOXIKLORID  25 kg  (1x25 kg),3808201000,
3111180521500,Astrid tavaszi búza II.fok csávázott bigbag 500 kg-os,1001001,
3113203001010T,Astronom õ.repce (TMTD) 1.500.000 mag/zsák,1205101000,
2120010300001T,ATABRON 120 EC (12x 1 lit),380810,
3113200811010T,Atenzo    õ.repce (TMTD) 1.500.000 mag/zsák,1205101000,
2130000512013,"ATHOS  0,133 kg",3808301500,
2130039800005,ATLANTIS OD 5 l (4x5 l),3808208099,
2190000103025,ATONIK   5 ml  (10 x (1 x 5 ml)) ampulla,3808909000,
2190000102025,"ATONIK  0,25 l  (24x0,25 l)",3808909000,
2190000100001,ATONIK  1 l  (10x1 l),3808909000,
2190000100005,ATONIK  5 l  (4x5 l),3808909000,
2190000100020,ATONIK 20 l  (1x20 l),3808909000,
2190000100120,ATONIK+BOROTEK (60 l Atonik+ 100 l Borotek),3808909000,
2192002100020,ATS  Agro Flo  N 15 +S 22 %   20 l,*,
1241020325900T,ATS NPK 2:13:24+17CaO+B+Mes+Phy bigbag,3105209000,
1241020325000T,ATS NPK 2:13:24+17CaO+B+Mes+Phy öml,3105209000,
3111132011750T,Attraktion  õ. búza  I. fok  csávázott  bigbag  750 kg,1001909100,
2130000821001,"AURORA 40 WG  0,1 kg  (20x0,1 kg)",3808302300,
2130029221001,"AURORA FULL Aurora WG 0,1 kg (10x0,1 kg)",3808302100,
2130700430050,AURORA FULL csom.  2 db+WUXAL RÉZ TOP  50 l,3808,
2130700331011,"AURORA FULL csom.( Aurora 40 WG 0,1 kg  10 db  + Overdose   2x5 l)",3808302100,
2120014510001,AUTENTIC  1 kg  (10x1 kg),3808109000,
